"VisR","Reference Term Curie","skos:narrower","skos:narrowMatch","skos:related","skos:relatedMatch","skos:closeMatch","skos:exactMatch","equivalent","skos:broadMatch","skos:broader","Mapped Term Curie","VisM","Mapped Vocabulary","Mapped Term","Mapped Term Depiction","Mapped Vocabulary Ordinal","rdfs:seeAlso","Reference Term"
"opm:","opm:Artifact","-","skos:narrowMatch","-","-","-","-","-","-","-","dcmitype:PhysicalResource","dcmitype:PhysicalResource","Dublin Core","http://dublincore.org/documents/dcmi-terms/#classes-PhysicalResource","",4,"","http://openprovenance.org/ontology#Artifact"
"opm:","opm:Artifact","-","skos:narrowMatch","-","-","-","-","-","-","-","dcmitype:MethodOfAccrual","dcmitype:MethodOfAccrual","Dublin Core","http://purl.org/dc/terms/MethodOfAccrual","",4,"","http://openprovenance.org/ontology#Artifact"
"opm:","opm:Artifact","-","skos:narrowMatch","-","-","-","-","-","-","-","premis:Object","premis:Object","PREMIS","http://multimedialab.elis.ugent.be/ontologies/PREMIS2.0/v1.0/premis.owl#Object","",5,"","http://openprovenance.org/ontology#Artifact"
"opm:","opm:Artifact","-","skos:narrowMatch","-","-","-","-","-","-","-","wot:PubKey","wot:PubKey","Web Of Trust Schema","http://xmlns.com/wot/0.1/PubKey","http://inference-web.org/w/images/7/7b/Wot.rdf.manual.pdf",6,"","http://openprovenance.org/ontology#Artifact"
"opm:","opm:Artifact","-","-","-","-","-","-","-","-","skos:broader","rdfg:Graph","rdfg:Graph","Semantic Web Publishing Vocabulary","http://www.w3.org/2004/03/trix/rdfg-1/Graph","http://inference-web.org/w/images/3/3a/Swp-2.rdf.rdf.manual.graffle.pdf",8,"","http://openprovenance.org/ontology#Artifact"
"opm:","opm:Artifact","-","skos:narrowMatch","-","-","-","-","-","-","-","rdf:Statement","rdf:Statement","Changeset Vocabulary","http://www.w3.org/1999/02/22-rdf-syntax-ns#Statement","http://inference-web.org/w/images/b/bf/Schema.turtle.manual.graffle.pdf",9,"","http://openprovenance.org/ontology#Artifact"
"opm:","opm:Agent","-","-","-","skos:relatedMatch","-","-","-","-","-","provenir:agent","provenir:agent","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#agent","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#Agent"
"opm:","opm:Agent","-","-","-","-","-","-","-","-","skos:broader","hprv:Actor","hprv:Actor","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#Actor","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#Agent"
"opm:","opm:Agent","skos:narrower","-","-","-","-","-","-","-","-","pmlp:Agent","pmlp:Agent","Proof Markup Language","http://inference-web.org/2.0/pml-provenance.owl#Agent","http://inference-web.org/w/images/b/b6/Pml-provenance.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#Agent"
"opm:","opm:Agent","-","-","skos:related","-","-","-","-","-","-","pmlp:Source","pmlp:Source","Proof Markup Language","http://inference-web.org/2.0/pml-provenance.owl#Source","http://inference-web.org/w/images/b/b6/Pml-provenance.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#Agent"
